Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00053,CHARGE AND RIDE INC,,2019,6,June,681,0,34
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2016,7,July,1170,0,32
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2015,4,April,19429,0,88
B00837,CAREY LIMO N Y INC,,2020,3,March,4673,0,146
B02191,US LIMO SYSTEM INC,,2016,7,July,769,0,27
B01970,GRAFE STREET SERVICE CORP.,,2017,3,March,482,0,10
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2019,11,November,2465,0,15
B00225,DELANCEY TRANSPORTATION INC.,,2015,9,September,22759,0,123
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2020,1,January,1631,0,17
B02965,ORION LUXURY CORP,,2019,1,January,723,0,13
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2018,11,November,6064,0,22
B01362,AMERICAN BASE NO.1 INC.,,2018,1,January,9162,0,63
B02717,ZOOM CAR SERVICE INC.,,2018,5,May,837,0,3
B02191,US LIMO SYSTEM INC,,2019,7,July,282,0,11
B02857,MATHES SERVICE INC.,NUNU ROCHDALE CAR SERVICE,2018,1,January,1748,0,7
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2015,4,April,19,0,6
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2019,12,December,14897,0,90
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2017,5,May,2375,0,11
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2016,2,February,20106,0,290
B02308,NORWOOD CAR & LIMO INC.,,2017,11,November,271,0,24
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2017,12,December,5247,0,38
B00889,MEXICANA CAR SERVICE INC.,,2019,11,November,4791,0,19
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,9,September,5243,0,19
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2019,2,February,3525,0,19
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2017,3,March,3703,0,19
B00095,LIBERTY CAR SERVICE INC.,,2015,12,December,20826,0,81
B02917,C & A BLACK CAR CORP.,,2018,7,July,207,0,22
B00937,RIVERSIDE RADIO DISPATCHER,,2017,3,March,61347,0,284
B02472,NEW BUSHWICK LUXURY INC.,,2017,12,December,9379,0,52
B02553,"NEW JUBILEE CAR SERVICE, INC.",,2015,12,December,5817,0,53
B02924,CELEBRITY LUXURY INC.,,2018,9,September,6197,0,55
B01065,EL BARRIO'S CAR SERVICE LLC,,2018,9,September,7579,0,52
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2015,9,September,135,0,16
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2016,2,February,1342,0,26
B00149,RAINBOW RAD DISP INC,,2017,2,February,1677,0,15
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2016,12,December,442,0,8
B02898,SANO CAR LLC,,2016,5,May,2065,0,15
B02200,BCL NETWORK LLC,,2016,5,May,613,0,28
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2019,6,June,190,0,4
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2015,12,December,3002,0,14
B02709,DASH CAR SERVICE CORP,,2019,5,May,1056,0,3
B00608,SUMMIT CORPORATE CAR INC.,,2019,12,December,988,0,25
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2016,7,July,5590,0,50
B00375,THE EXCELLENT C/S INC,,2015,9,September,16035,0,101
B02102,"GOLDEN DRAGON EXPRESS, INC",,2016,4,April,484,0,6
B01336,BAY EXPRESS CORP.,,2016,3,March,5173,0,29
B02315,LA MORENITA CAR LIMO SERVICE INC,,2019,12,December,2330,0,8
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2015,7,July,234,0,12
b01109,UNITED EXP C/L SVCE,,2016,7,July,11705,0,57
LYFT,LYFT,LYFT,2017,2,February,1619126,0,21715
B01194,440 CAR SERVICE INC.,,2019,12,December,1697,0,7
B01742,"AVALON TRANSPORTATION, LLC",,2018,2,February,332,0,13
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2017,4,April,1064,0,6
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2016,3,March,2100,0,12
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2020,3,March,401,0,11
B02740,MAZAL LIMOUSINE SERVICE INC,,2016,2,February,182,0,5
B02851,GALLANT CAR SERVICE CORP.,,2018,4,April,122,0,1
B02346,PIA CAR LIMO. INC.,,2019,3,March,21,0,2
B00448,DIAL CAR INC.,,2015,5,May,170,0,23
B03018,AUREUS LLC,JAVA CAR & LIMOUSINE SERVICE,2019,8,August,27,0,1
B00827,"CASTLE CAR SERVICE, INC",,2019,8,August,756,0,3
B01309,ACME LIMOUSINE LLC,ARROW TRANSPORTATION,2018,2,February,352,0,14
B02891,"GLIDE LUXURY TRANSPORTATION, INC",,2016,7,July,21,0,4
B01233,NEW LACONIA RAD DISP INC,,2016,3,March,24433,0,80
B00652,RESCUE C/S INC,,2020,2,February,2017,0,21
UBER,UBER,UBER,2018,8,August,14060879,4027450,72344
B01726,SUPER CLASS RADIO DISP INC,,2018,12,December,7957,27,57
B00472,FARRELL'S LEASING CO.,,2019,8,August,470,0,39
B01721,W.K. CAR & LIMO SERVICE INC,,2020,2,February,1574,0,20
B02517,LOS PAISANOS LUXURY C/S INC.,,2017,11,November,648,0,7
B03000,ZAPP CAR SERVICE INC.,,2019,1,January,27,0,1
B02480,WOODHAVEN LIMOUSINE INC,,2016,4,April,834,0,29
B00171,CURB TRANSPORTATION SERVICES LLC.,,2015,10,October,5002,0,26
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2018,1,January,33,0,2
B00475,RIDGE TRANSPORTATION CORP.,,2016,5,May,3681,0,9
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2018,11,November,129,0,9
B02725,KIRIN TRANSPORTATION INC,,2017,3,March,1274,0,23
B02566,GSL LIMOUSINES CORP.,,2017,10,October,1300,0,34
B01751,CONCORDE EXP OF N.Y. INC,,2017,7,July,2901,0,10
B01742,"AVALON TRANSPORTATION, LLC",,2017,6,June,694,0,22
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2018,4,April,5310,0,96
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2019,7,July,506,0,6
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2017,8,August,1578,0,11
B02377,AMERICAN BASE #2. INC.,,2016,8,August,398,0,6
B01362,AMERICAN BASE NO.1 INC.,,2015,3,March,33767,0,207
B00449,A KINGS HWY C/S INC.,,2019,5,May,2981,0,10
B02306,ACCUELIMO LUXURY LLC,,2015,5,May,3437,0,26
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2019,11,November,7614,0,21
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2016,3,March,111,0,3
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2019,4,April,735,0,9
B02315,LA MORENITA CAR LIMO SERVICE INC,,2017,1,January,5946,0,35
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2017,2,February,4959,0,24
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2015,9,September,14898,0,128
B01318,LOWER EAST SIDE C/S CORP,,2016,3,March,15330,0,67
B00449,A KINGS HWY C/S INC.,,2019,11,November,2555,0,11
B02315,LA MORENITA CAR LIMO SERVICE INC,,2017,6,June,4546,0,21
B01340,UNICAR COMPANY INC,,2016,5,May,21332,0,106
B02021,EASYRIDE CAR SERVICE INC.,,2017,12,December,992,0,3
B03022,BLACK CAR EXPRESS.COM CORP,,2020,1,January,137,0,3
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,11,November,939,0,19
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2019,11,November,2320,0,14
B02925,SIGNATURE BLACK CAR LLC,,2016,8,August,4,0,3
B01413,SFL INC,,2015,9,September,1193,0,43
B02252,ASIANA LIMOUSINE INC.,,2018,2,February,16,0,4
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2017,5,May,3505,0,19
B01553,CITY LINE CAR SERVICE INC,,2016,2,February,23285,0,115
B01663,CIBAO RADIO DISPATCH,,2020,3,March,3382,0,24
B02470,VAHANA INC.,,2015,10,October,624,0,12
B01118,INTERNATIONAL CAR SERVICE INC.,,2019,2,February,578,0,6
B00375,THE EXCELLENT C/S INC,,2016,4,April,20642,0,86
B03110,BETTER CAR & LIMOUSINE SERVICE INC,BELTWAY CAR SERVICE,2016,4,April,1,0,1
B02874,"CAPSTAR CHAUFFEURS,INC.",,2016,4,April,130,0,9
B01751,CONCORDE EXP OF N.Y. INC,,2017,3,March,3440,0,11
B01300,KENNEDY RAD DISP INC,,2017,10,October,9076,0,78
B01066,DOMINICANA RAD DISP INC,,2019,7,July,5733,0,41
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2018,8,August,700,0,26
B01236,BLS LIMO SVC OF NY INC,,2020,1,January,2660,0,110
B02133,"TWR CAR & LIMO, INC.",,2017,6,June,6235,0,68
B01066,DOMINICANA RAD DISP INC,,2018,2,February,8699,0,54
B00401,TREMONT DISPATCHING CORP,,2016,6,June,161,0,3
B00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2018,8,August,8713,0,58
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2018,3,March,1674,0,11
VIA,VIA,VIA,2015,11,November,255655,0,923
B02248,HYBRID LIMO EXPRESS INC.,,2018,3,March,1557,0,8
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2018,12,December,1363,0,9
B02229,NEW FAT INC.,ELEGANTE,2017,6,June,6856,0,69
UBER,UBER,UBER,2015,3,March,2259575,0,14290
B00221,PROFESSIONAL CAR SERVICE INC,,2018,11,November,7849,0,54
B01777,PREMIUM RADIO DISP & MULTI SVC,,2016,12,December,19934,0,182
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2017,12,December,1004,0,6
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2018,11,November,4197,0,119
B02793,SEAVIEW ISLAND CAR SERVICE,,2018,10,October,93,0,1
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2017,5,May,276,0,10
B02912,FIRST CLASS LUXURY INC,,2017,4,April,1633,0,9
B00369,BOULEVARD OPERATING INC.,,2018,9,September,456,0,9
B02460,CABOT LIMO NY CORP.,,2016,8,August,949,0,25
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2020,4,April,1309,0,28
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2016,8,August,4108,0,15
B01391,ROSE 'N' DALE C/S INC,,2020,4,April,430,0,6
B02901,GALLANT LUXURY SERVICE CORP.,,2017,3,March,864,0,16
B00991,BLUE LANE CAR SERVICE INC,,2018,12,December,289,0,12
B01341,A NEW DAY RAD DISP INC,,2018,5,May,3527,0,26
LYFT,LYFT,LYFT,2016,6,June,1073973,0,15095
B00160,JAFFA CAR & LIMO SVC INC,,2016,4,April,3941,0,21
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2019,10,October,2147,0,23
B02838,THA MAYA CAR SERVICE INC,,2016,2,February,557,0,12
B01124,COOPERATIVA CLBNA DE CON INC,,2017,11,November,4083,0,32
B02447,LUIGI MEMO INC.,VIEW,2019,5,May,49,0,14
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2017,5,May,29,0,4
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2018,5,May,23277,0,106
B01768,NEW SUPERIOR RADIO GRP CORP,,2019,7,July,12215,0,80
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2015,9,September,130,0,7
B01273,PUERTO RICO CAR SERVICE INC.,,2019,3,March,1602,0,7
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2016,4,April,661,0,12
B00448,DIAL CAR INC.,,2017,2,February,254,0,42
B00789,VITAL TRANSPORTATION INC.,,2019,3,March,1877,0,167
