,Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
49,LYFT,LYFT,LYFT,2017,2,February,1619126,0,21715
142,LYFT,LYFT,LYFT,2016,6,June,1073973,0,15095
305,LYFT,LYFT,LYFT,2018,9,September,3960252,641585,43686
500,LYFT,LYFT,LYFT,2018,5,May,3400356,540029,38628
570,LYFT,LYFT,LYFT,2015,10,October,434476,0,6657
736,LYFT,LYFT,LYFT,2018,10,October,4246575,1024500,46167
992,LYFT,LYFT,LYFT,2015,11,November,450483,0,7023
2336,LYFT,LYFT,LYFT,2018,3,March,3471602,641427,36783
3253,LYFT,LYFT,LYFT,2015,4,April,80613,0,2519
3442,LYFT,LYFT,LYFT,2020,1,January,5274248,1319840,44285
3840,LYFT,LYFT,LYFT,2017,10,October,2904741,560310,34304
3964,LYFT,LYFT,LYFT,2018,12,December,4697772,691743,48773
5022,LYFT,LYFT,LYFT,2016,4,April,810447,0,10865
5676,LYFT,LYFT,LYFT,2018,11,November,4195596,540745,47723
5725,LYFT,LYFT,LYFT,2019,1,January,4623412,709716,50099
6531,LYFT,LYFT,LYFT,2016,1,January,564149,0,9858
6647,LYFT,LYFT,LYFT,2019,5,May,4681243,1108538,52592
7656,LYFT,LYFT,LYFT,2020,3,March,3219535,557289,40328
7895,LYFT,LYFT,LYFT,2019,2,February,4689540,1171771,50929
8226,LYFT,LYFT,LYFT,2016,3,March,691455,0,9266
8884,LYFT,LYFT,LYFT,2019,6,June,4998481,1197047,52185
8886,LYFT,LYFT,LYFT,2019,4,April,4287895,1008642,53370
9334,LYFT,LYFT,LYFT,2020,2,February,5339549,1295327,43192
9637,LYFT,LYFT,LYFT,2019,12,December,5430612,1417280,45310
10794,LYFT,LYFT,LYFT,2017,3,March,1923915,0,22332
11617,LYFT,LYFT,LYFT,2016,11,November,1112720,0,16639
11710,LYFT,LYFT,LYFT,2018,2,February,3144050,659044,36614
12203,LYFT,LYFT,LYFT,2017,8,August,2384976,412024,29889
12345,LYFT,LYFT,LYFT,2017,6,June,2010328,367368,26447
12363,LYFT,LYFT,LYFT,2019,8,August,4698486,1241250,48556
13192,LYFT,LYFT,LYFT,2016,7,July,951376,0,14442
13260,LYFT,LYFT,LYFT,2019,7,July,4682093,1134662,51316
13495,LYFT,LYFT,LYFT,2017,7,July,2278279,420460,28267
13731,LYFT,LYFT,LYFT,2017,11,November,2692200,482828,34869
15004,LYFT,LYFT,LYFT,2016,2,February,667766,0,9734
15143,LYFT,LYFT,LYFT,2016,12,December,1272827,0,17656
15722,LYFT,LYFT,LYFT,2016,10,October,1112748,0,15926
15777,LYFT,LYFT,LYFT,2018,7,July,3632375,615331,40899
15937,LYFT,LYFT,LYFT,2015,9,September,399622,0,5592
16024,LYFT,LYFT,LYFT,2016,8,August,1095428,0,15033
17400,LYFT,LYFT,LYFT,2018,6,June,3664808,602496,39519
17640,LYFT,LYFT,LYFT,2017,4,April,1766732,0,23250
18364,LYFT,LYFT,LYFT,2016,5,May,994444,0,12955
18677,LYFT,LYFT,LYFT,2017,5,May,1934661,0,24962
18781,LYFT,LYFT,LYFT,2015,5,May,100862,0,2701
19090,LYFT,LYFT,LYFT,2019,11,November,5144737,1464222,44804
20770,LYFT,LYFT,LYFT,2019,3,March,4696685,1147502,52436
21074,LYFT,LYFT,LYFT,2018,4,April,3332985,557190,37429
21394,LYFT,LYFT,LYFT,2016,9,September,1068625,0,15374
21425,LYFT,LYFT,LYFT,2017,12,December,3031881,573577,35077
21575,LYFT,LYFT,LYFT,2019,10,October,5346314,1489520,47217
22105,LYFT,LYFT,LYFT,2017,9,September,2528638,445088,31416
22559,LYFT,LYFT,LYFT,2019,9,September,4611514,1258443,48447
23253,LYFT,LYFT,LYFT,2018,8,August,3936418,620932,41968
24610,LYFT,LYFT,LYFT,2018,1,January,3141012,641261,36779
27149,LYFT,LYFT,LYFT,2015,12,December,524782,0,6830
27618,LYFT,LYFT,LYFT,2015,7,July,194815,0,3895
29595,LYFT,LYFT,LYFT,2020,4,April,1143604,0,11665
29745,LYFT,LYFT,LYFT,2015,8,August,318717,0,5016
29913,LYFT,LYFT,LYFT,2017,1,January,1285621,0,19683
30233,LYFT,LYFT,LYFT,2015,6,June,111111,0,2963
