,postal_code,country,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
0,10019,US,2019-01-01T00:00:00-05:00,0,39,100,27.0,40.7,53.3,33.3,45.3,55.1,39.0,49.0,58.1,1003.2,1012.0,1021.8,0.06,-2.0,0.5,2.3,0,89.3,397.0,2142.1,52.8,74.2,98.5,1002.3,1011.0,1021.7,0.0,0.0,3.0,5.6,8.6,39.0,49.0,58.1,33.3,45.3,55.1,296,292,287,0.7,9.9,19.1,7.9,20.2,28.4,10.7,20.7,27.7,34.7,45.4,54.7
1,10019,US,2019-01-02T00:00:00-05:00,0,43,100,23.7,25.8,31.7,29.9,33.3,37.5,34.0,36.9,39.3,1018.2,1024.5,1028.5,0.0,-1.4,-0.1,1.2,0,72.4,346.9,1738.6,54.4,63.9,74.1,1018.6,1024.3,1027.8,0.0,0.0,2.6,2.9,3.7,34.0,36.9,39.3,29.9,33.3,37.5,93,64,62,2.5,4.6,7.0,1.8,8.4,16.3,1.4,7.4,13.1,30.9,33.1,36.3
2,10019,US,2019-01-03T00:00:00-05:00,0,55,100,25.1,31.3,38.5,32.5,36.3,40.9,35.8,39.9,43.4,1012.1,1014.8,1018.8,0.0,-2.0,-0.1,0.8,0,75.3,380.8,1806.6,53.1,71.9,89.6,1011.5,1014.4,1017.8,0.0,0.0,2.8,3.7,4.9,35.8,39.9,43.4,32.5,36.3,40.9,303,299,297,0.0,5.8,12.9,1.4,10.5,19.9,3.1,10.6,19.6,32.8,36.7,40.4
3,10019,US,2019-01-04T00:00:00-05:00,0,68,100,26.5,31.6,38.6,28.8,36.6,44.7,33.0,39.9,45.4,1007.4,1013.4,1017.4,0.0,-1.9,-0.3,0.5,0,73.8,354.8,1770.3,59.9,72.6,80.6,1007.6,1013.5,1016.5,0.0,0.0,3.0,3.8,4.9,33.0,39.9,45.4,28.8,36.6,44.7,230,237,237,0.3,5.1,10.4,3.0,11.7,16.0,4.0,11.3,14.8,30.8,36.6,41.9
4,10019,US,2019-01-05T00:00:00-05:00,0,76,100,34.4,41.2,43.4,35.5,39.0,41.5,39.9,43.2,44.8,996.8,1002.0,1007.7,0.41,-1.4,-0.1,1.7,0,6.4,37.3,153.3,80.2,93.0,97.8,995.1,1001.2,1006.4,0.0,0.0,4.2,5.5,6.0,39.9,43.2,44.8,35.5,39.0,41.5,8,10,10,3.4,7.2,11.1,5.1,13.7,19.0,4.8,14.1,18.8,37.6,42.3,44.0
5,10019,US,2019-01-06T00:00:00-05:00,0,22,92,14.9,28.2,37.7,21.0,34.8,43.0,30.5,40.7,48.8,1007.7,1015.8,1026.1,0.0,-0.3,0.8,1.8,0,78.2,396.1,1877.3,43.7,61.9,79.6,1006.9,1014.8,1026.3,0.0,0.0,1.8,3.4,4.7,30.5,40.7,48.8,21.0,34.8,43.0,304,306,307,5.2,10.0,16.7,13.1,18.8,25.7,14.4,18.9,24.8,26.5,36.4,41.9
6,10019,US,2019-01-07T00:00:00-05:00,0,37,100,5.1,10.9,22.8,17.1,23.3,30.8,24.4,29.1,33.4,1024.3,1029.7,1033.9,0.0,-1.6,-0.1,1.3,0,84.8,438.5,2034.8,32.9,46.6,64.5,1024.6,1029.7,1034.3,0.0,0.0,1.2,1.5,2.5,24.4,29.1,33.4,17.1,23.3,30.8,356,354,358,1.7,5.8,10.0,2.7,9.0,16.3,3.3,8.8,16.2,21.5,25.1,30.0
7,10019,US,2019-01-08T00:00:00-05:00,33,92,100,24.6,36.9,41.2,31.5,38.6,42.5,34.6,39.5,42.5,1001.5,1013.7,1024.4,0.13,-2.1,-1.0,0.4,0,20.3,93.3,486.3,65.7,90.3,97.2,1001.1,1013.4,1025.0,0.1,0.0,2.8,4.7,5.5,34.6,39.5,42.5,31.5,38.6,42.5,11,169,172,0.3,2.3,4.3,0.2,4.8,11.1,1.0,4.9,10.5,31.3,38.5,41.9
8,10019,US,2019-01-09T00:00:00-05:00,0,7,53,18.9,27.5,40.8,24.5,33.5,39.4,33.3,40.6,44.6,1001.1,1003.1,1005.7,0.06,-0.7,0.1,0.9,0,109.8,454.2,2634.4,46.2,61.3,96.3,999.8,1001.7,1004.0,0.0,0.0,2.2,3.3,5.4,33.3,40.6,44.6,24.5,33.5,39.4,283,284,285,3.9,12.7,17.6,6.7,21.3,26.5,8.7,21.4,24.9,29.1,36.1,41.3
9,10019,US,2019-01-10T00:00:00-05:00,0,36,98,15.0,18.1,21.8,16.3,21.2,24.3,27.5,31.5,33.9,1004.0,1009.1,1016.5,0.0,-0.1,0.5,1.3,0,96.3,449.6,2310.8,48.2,57.3,68.8,1002.9,1008.0,1015.3,0.0,0.0,1.8,2.1,2.5,27.5,31.5,33.9,16.3,21.2,24.3,302,304,304,10.4,14.5,25.1,18.2,22.9,27.7,19.3,23.5,27.6,24.3,27.7,29.2
10,10019,US,2019-01-11T00:00:00-05:00,0,1,10,2.5,6.8,14.0,8.8,15.0,20.3,20.7,25.2,30.5,1017.0,1024.6,1030.3,0.0,-0.5,0.6,1.3,0,119.7,499.8,2872.8,31.1,45.9,60.7,1016.2,1023.9,1030.5,0.0,0.0,1.0,1.3,1.8,20.7,25.2,30.5,8.8,15.0,20.3,312,314,313,5.4,10.9,14.6,12.4,18.1,21.7,9.6,17.2,22.3,17.9,21.6,25.6
11,10019,US,2019-01-12T00:00:00-05:00,0,26,100,4.7,9.4,14.8,12.0,22.5,30.2,19.4,27.1,33.4,1031.2,1033.0,1035.0,0.0,-1.0,0.1,0.9,0,117.7,491.1,2823.9,33.8,47.3,61.5,1031.1,1032.7,1034.6,0.0,0.0,1.1,1.4,1.8,19.4,27.1,33.4,12.0,22.5,30.2,311,326,327,2.2,4.0,7.0,2.6,7.2,13.8,4.0,6.3,10.8,16.9,23.3,28.1
12,10019,US,2019-01-13T00:00:00-05:00,0,20,100,8.7,12.3,15.5,15.1,21.1,26.5,24.5,28.3,32.5,1024.9,1028.7,1032.6,0.0,-1.3,-0.3,0.4,0,111.6,477.0,2676.4,39.2,51.0,64.7,1025.4,1028.7,1031.8,0.2,0.03,1.4,1.6,1.9,24.5,28.3,32.5,15.1,21.1,26.5,33,38,38,2.8,7.3,11.1,5.8,11.7,18.3,4.2,10.6,16.1,21.6,24.5,27.5
13,10019,US,2019-01-14T00:00:00-05:00,0,21,84,10.9,13.9,16.7,8.7,18.8,27.6,20.4,25.9,32.0,1019.5,1022.9,1025.6,0.0,-1.2,-0.2,0.4,0,113.4,480.6,2722.5,45.2,60.2,74.6,1020.3,1023.2,1025.7,0.0,0.0,1.5,1.7,2.0,20.4,25.9,32.0,8.7,18.8,27.6,1,4,5,2.2,6.8,11.3,2.6,11.1,18.5,4.7,10.9,16.9,18.7,22.9,27.5
14,10019,US,2019-01-15T00:00:00-05:00,0,0,4,13.7,16.4,20.5,18.6,25.3,32.0,22.5,28.7,35.2,1019.1,1020.4,1021.9,0.0,-1.0,-0.1,0.8,0,118.4,491.7,2842.3,46.5,60.1,72.5,1019.0,1020.2,1022.0,0.0,0.0,1.7,2.0,2.3,22.5,28.7,35.2,18.6,25.3,32.0,337,334,331,0.9,3.7,8.1,0.6,5.7,9.7,1.3,6.5,11.6,20.5,25.4,30.3
15,10019,US,2019-01-16T00:00:00-05:00,0,23,94,17.4,22.4,25.3,21.2,27.6,33.0,27.1,33.4,38.9,1016.9,1019.2,1023.3,0.0,-0.8,0.2,1.5,0,101.1,479.7,2426.1,51.8,64.5,76.5,1017.0,1018.8,1023.9,0.0,0.0,2.0,2.5,2.8,27.1,33.4,38.9,21.2,27.6,33.0,262,267,270,2.0,6.9,10.5,5.1,13.1,17.1,5.4,12.7,14.9,25.0,29.9,34.1
16,10019,US,2019-01-17T00:00:00-05:00,0,13,100,6.9,12.1,18.4,17.7,23.8,31.0,23.9,28.8,31.4,1022.9,1026.7,1030.6,0.0,-1.3,0.0,1.0,0,116.0,513.5,2784.7,37.7,49.4,59.3,1023.3,1026.8,1030.3,0.0,0.0,1.3,1.6,2.1,23.9,28.8,31.4,17.7,23.8,31.0,7,11,17,1.5,4.8,9.5,1.7,7.8,18.1,1.9,7.2,15.0,21.0,24.9,27.5
17,10019,US,2019-01-18T00:00:00-05:00,0,68,100,22.7,30.2,33.8,23.9,30.4,36.2,28.5,33.5,38.1,1017.8,1020.0,1022.4,0.02,-1.1,-0.1,1.1,0,59.3,272.4,1423.3,74.9,87.9,95.2,1017.1,1019.7,1022.7,0.5,0.24,2.5,3.5,4.0,28.5,33.5,38.1,23.9,30.4,36.2,311,340,338,1.9,3.7,5.6,1.1,7.2,13.2,0.5,6.4,11.4,27.2,32.3,36.2
18,10019,US,2019-01-19T00:00:00-05:00,0,57,100,21.6,26.4,33.1,25.6,29.0,32.5,30.7,34.1,36.4,1010.9,1020.5,1024.8,0.3,-2.1,-0.5,0.9,0,78.1,454.6,1873.6,62.0,73.6,95.9,1009.9,1020.4,1024.8,1.4,0.0,2.4,3.0,4.0,30.7,34.1,36.4,25.6,29.0,32.5,69,65,73,0.9,6.2,10.3,4.0,10.3,17.6,4.8,10.4,19.8,27.9,31.5,34.3
19,10019,US,2019-01-20T00:00:00-05:00,1,67,100,2.4,24.9,39.7,-3.9,19.0,37.3,13.4,29.4,40.4,990.7,1000.4,1009.2,0.85,-3.2,-0.1,2.3,0,28.5,158.0,684.0,60.7,83.9,98.2,990.2,999.4,1008.6,1.9,0.0,1.0,3.2,5.2,13.4,29.4,40.4,-3.9,19.0,37.3,335,346,342,3.6,13.3,21.4,6.3,20.9,29.7,2.9,20.5,30.0,11.5,28.2,40.1
20,10019,US,2019-01-21T00:00:00-05:00,0,16,56,-8.6,-4.0,1.8,-16.6,-8.4,-0.7,4.1,9.8,13.7,1011.1,1020.4,1029.8,0.0,0.0,0.9,1.5,0,124.8,514.3,2994.4,43.4,53.2,61.3,1009.4,1019.0,1029.8,0.9,0.08,0.6,0.8,1.0,4.1,9.8,13.7,-16.6,-8.4,-0.7,300,302,302,10.3,18.6,23.6,19.6,25.7,30.1,19.2,25.8,30.0,2.6,7.9,11.2
21,10019,US,2019-01-22T00:00:00-05:00,0,14,100,1.3,4.6,10.6,-0.2,14.5,27.9,12.3,22.0,30.5,1030.7,1035.6,1038.1,0.0,-0.7,0.2,1.7,0,135.4,543.5,3251.5,30.6,48.3,65.5,1030.1,1035.5,1038.2,0.5,0.0,1.0,1.1,1.5,12.3,22.0,30.5,-0.2,14.5,27.9,285,282,285,1.0,6.3,11.1,2.0,10.0,17.5,3.0,9.8,17.2,10.6,18.8,25.7
22,10019,US,2019-01-23T00:00:00-05:00,0,64,100,10.8,25.9,42.9,22.2,32.9,43.6,28.4,36.9,46.3,1013.3,1023.3,1032.5,0.0,-1.5,-0.9,-0.2,0,42.8,183.6,1028.3,47.4,64.7,87.6,1013.1,1023.3,1033.4,0.0,0.0,1.5,3.1,5.8,28.4,36.9,46.3,22.2,32.9,43.6,192,200,200,1.3,5.0,8.1,8.6,13.4,19.2,10.2,13.5,17.1,24.4,33.4,44.6
23,10019,US,2019-01-24T00:00:00-05:00,18,87,100,24.2,44.6,55.0,25.3,42.9,55.0,34.2,47.9,55.8,992.3,1002.4,1012.3,0.99,-2.7,-0.2,4.2,0,18.9,117.1,453.7,65.8,88.7,98.7,990.7,1001.7,1011.9,0.0,0.0,2.8,6.6,9.3,34.2,47.9,55.8,25.3,42.9,55.0,228,221,222,3.5,12.0,19.3,16.1,23.1,29.8,15.0,24.2,32.2,30.9,46.5,55.3
24,10019,US,2019-01-25T00:00:00-05:00,0,22,98,4.3,16.3,24.6,19.0,26.8,30.7,26.8,34.0,39.1,1010.8,1016.3,1023.0,0.0,-0.2,0.6,1.6,0,133.2,532.8,3196.7,34.7,49.7,68.0,1009.4,1015.2,1022.4,0.0,0.0,1.1,2.0,2.8,26.8,34.0,39.1,19.0,26.8,30.7,270,272,276,4.3,9.5,15.4,9.2,14.6,24.2,8.7,15.0,23.5,22.7,29.5,33.0
25,10019,US,2019-01-26T00:00:00-05:00,0,2,21,3.6,10.2,18.6,15.9,23.5,32.0,22.5,28.8,34.4,1022.8,1024.3,1025.4,0.0,-0.8,0.0,0.8,0,136.3,549.7,3272.6,36.7,45.6,64.9,1022.7,1023.9,1025.0,0.0,0.0,1.1,1.5,2.1,22.5,28.8,34.4,15.9,23.5,32.0,242,250,248,1.8,5.2,9.2,2.6,7.7,11.6,3.2,7.5,10.8,19.4,24.7,29.1
26,10019,US,2019-01-27T00:00:00-05:00,0,42,100,19.3,26.6,34.0,25.4,35.3,42.7,28.2,39.1,48.0,1013.7,1017.7,1023.3,0.0,-1.5,-0.3,0.6,0,127.2,533.1,3054.6,39.8,62.1,83.2,1013.2,1017.0,1022.4,0.0,0.0,2.2,3.0,4.1,28.2,39.1,48.0,25.4,35.3,42.7,207,201,201,1.9,6.8,13.9,9.5,15.3,23.8,8.7,14.8,23.1,26.3,34.7,40.5
27,10019,US,2019-01-28T00:00:00-05:00,0,54,100,7.7,11.7,19.5,15.7,21.6,30.1,24.4,28.0,36.0,1016.9,1018.0,1020.5,0.0,-1.0,0.1,2.3,0,109.9,495.1,2637.7,41.0,50.4,62.5,1016.5,1018.0,1020.6,0.0,0.0,1.3,1.6,2.2,24.4,28.0,36.0,15.7,21.6,30.1,359,360,1,2.8,6.2,10.1,3.8,9.6,15.3,3.5,8.9,15.1,21.2,24.2,31.1
28,10019,US,2019-01-29T00:00:00-05:00,0,61,100,11.8,27.8,39.8,19.0,28.9,38.0,23.3,33.0,42.0,1009.3,1013.3,1017.8,0.18,-1.5,-0.3,1.0,0,74.8,333.5,1795.2,58.3,81.3,94.1,1007.9,1012.8,1017.5,0.2,0.02,1.6,3.4,5.2,23.3,33.0,42.0,19.0,28.9,38.0,150,131,138,0.4,5.0,10.3,4.7,11.2,18.7,6.2,10.8,17.8,20.9,31.3,40.9
