,Month,Temperature (F),Humitdity (%),Snowfall Depth (in),Wind Speed (MPH),Precipitation (in),Max Temperature (F),Max Wind Speed (MPH)
0,2020-02,30.2,44.1,0.0,11.0,0.0,34.6,16.4
1,2020-03,34.1,47.2,0.0,7.3,0.0,43.7,13.3
2,2020-03,47.8,56.0,0.0,6.7,0.0,57.5,10.0
3,2020-03,52.0,79.9,0.0,6.2,0.23,57.5,11.9
4,2020-03,49.9,50.3,0.0,12.4,0.0,56.4,17.9
5,2020-03,44.5,53.2,0.0,7.2,0.0,52.3,12.3
6,2020-03,40.2,83.7,0.0,7.0,0.24,44.2,11.0
7,2020-03,40.4,47.8,0.0,10.2,0.0,47.3,15.1
8,2020-03,47.1,32.7,0.0,6.6,0.0,59.7,10.0
9,2020-03,57.6,32.6,0.0,7.2,0.0,72.0,11.5
10,2020-03,59.4,56.2,0.0,8.9,0.0,65.1,14.6
11,2020-03,50.0,47.2,0.0,4.9,0.0,56.0,12.6
12,2020-03,45.5,72.6,0.0,5.9,0.02,48.9,9.0
13,2020-03,56.1,64.7,0.0,10.8,0.21,69.9,17.7
14,2020-03,48.1,39.2,0.0,9.1,0.0,55.5,12.7
15,2020-03,46.1,39.4,0.0,6.1,0.0,53.4,8.8
16,2020-03,38.8,54.8,0.0,7.9,0.0,43.8,10.3
17,2020-03,47.3,76.3,0.0,5.5,0.23,54.2,9.9
18,2020-03,46.4,53.2,0.0,5.4,0.01,52.4,8.5
19,2020-03,46.8,86.2,0.0,5.6,0.67,51.7,10.4
20,2020-03,59.6,75.5,0.0,6.4,0.0,75.8,12.1
21,2020-03,46.7,42.9,0.0,9.1,0.0,59.0,14.1
22,2020-03,37.4,48.3,0.0,8.1,0.0,43.1,10.9
23,2020-03,37.6,85.9,0.1,9.9,0.86,40.6,12.7
24,2020-03,44.8,67.9,0.0,6.1,0.0,53.9,10.2
25,2020-03,42.2,76.2,0.0,8.8,0.01,44.7,14.7
26,2020-03,46.5,66.7,0.0,5.3,0.0,58.0,9.8
27,2020-03,57.6,49.2,0.0,5.1,0.0,67.4,9.8
28,2020-03,47.1,72.2,0.0,7.1,0.34,51.6,10.5
29,2020-03,45.2,96.0,0.0,10.2,0.01,47.0,14.3
30,2020-03,46.4,87.2,0.0,4.1,0.06,50.0,6.4
31,2020-03,43.4,79.2,0.0,5.4,0.03,47.3,8.2
32,2020-03,43.4,79.2,0.0,5.4,0.03,47.3,8.2
33,2020-04,46.2,55.0,0.0,8.2,0.0,54.2,11.6
34,2020-04,48.6,49.0,0.0,13.1,0.0,57.4,17.6
35,2020-04,49.3,72.2,0.0,11.8,0.08,51.9,15.5
36,2020-04,51.1,73.3,0.0,5.3,0.0,60.2,8.9
37,2020-04,52.9,76.1,0.0,3.1,0.0,62.8,7.6
38,2020-04,56.5,47.3,0.0,5.9,0.07,66.4,10.6
39,2020-04,57.0,42.2,0.0,5.4,0.0,65.1,12.5
40,2020-04,55.9,75.3,0.0,5.3,0.19,64.1,8.3
41,2020-04,50.4,69.4,0.0,9.2,0.1,58.4,21.3
42,2020-04,43.2,56.1,0.0,14.0,0.01,47.3,21.2
43,2020-04,46.5,38.1,0.0,9.2,0.0,54.5,13.7
44,2020-04,52.8,56.5,0.0,6.2,0.0,62.0,11.7
45,2020-04,58.8,84.9,0.0,13.6,1.45,66.4,23.3
46,2020-04,51.8,47.3,0.0,8.0,0.0,58.5,12.6
47,2020-04,47.2,41.9,0.0,8.2,0.0,52.5,11.4
48,2020-04,43.6,44.8,0.0,10.9,0.0,47.8,16.1
49,2020-04,42.7,55.2,0.0,6.7,0.08,50.0,11.4
50,2020-04,43.4,78.8,0.0,6.7,0.22,46.0,10.9
51,2020-04,51.5,48.0,0.0,9.1,0.0,61.3,14.4
52,2020-04,51.4,49.0,0.0,5.6,0.0,55.1,9.6
53,2020-04,48.5,69.6,0.0,9.7,0.15,58.6,17.9
54,2020-04,43.2,34.8,0.0,10.8,0.0,51.2,16.3
55,2020-04,44.3,48.2,0.0,4.0,0.14,50.7,7.5
56,2020-04,46.2,92.0,0.0,6.9,0.43,49.4,11.0
57,2020-04,52.5,63.4,0.0,4.3,0.0,62.9,11.6
58,2020-04,46.8,84.0,0.0,10.0,0.15,49.6,17.4
59,2020-04,44.2,77.0,0.0,9.6,0.0,49.2,13.4
60,2020-04,52.5,56.7,0.0,5.5,0.0,66.0,9.0
61,2020-04,50.6,78.1,0.0,8.9,0.01,56.2,12.3
62,2020-04,55.0,90.8,0.0,13.4,0.49,60.0,24.0
63,2020-04,55.0,90.8,0.0,13.4,0.49,60.0,24.0
64,2020-05,59.0,81.2,0.0,5.6,0.15,65.4,12.1
65,2020-05,64.1,40.2,0.0,9.1,0.0,73.9,14.3
66,2020-05,68.8,54.3,0.0,7.0,0.07,80.9,10.6
67,2020-05,61.8,45.3,0.0,10.2,0.0,71.9,20.5
68,2020-05,54.1,37.1,0.0,6.6,0.0,63.4,10.6
69,2020-05,48.8,72.5,0.0,6.5,0.12,51.0,10.7
70,2020-05,57.3,41.8,0.0,8.4,0.0,66.7,12.6
71,2020-05,47.5,64.7,0.0,5.4,0.42,53.6,16.4
72,2020-05,40.3,51.8,0.0,13.7,0.02,46.5,18.7
73,2020-05,52.5,38.7,0.0,11.1,0.0,63.7,15.9
74,2020-05,51.7,65.8,0.0,7.9,0.06,59.5,15.5
